id,car_make,car_model,year,first_owner,vinnumber
42,Lexus,IS-F,2008,false,1G4GF5E33CF732892
43,BMW,8 Series,1995,true,1N6AA0CC3EN153258
44,GMC,Sierra 1500,2012,false,5UXFB93543L692118
45,Chevrolet,Beretta,1992,false,JM1NC2PF1F0891198
46,Volvo,C70,2001,false,5UXFA53542L692419
47,Isuzu,Trooper,1992,true,1FTEX1CM4BK924113
48,Chevrolet,Suburban 2500,1993,true,SALME1D41AA101753
49,Oldsmobile,Ciera,1994,false,JN8AF5MR0DT193767
50,Cadillac,Catera,1998,true,VNKKTUD37FA997245
51,Toyota,Tacoma,2006,true,WBADS43482G439925
52,Dodge,Ram Van 1500,1996,false,1G4GC5EG3AF617007
53,Pontiac,Grand Prix,1973,false,3N1CN7AP6FL031576
54,Mercedes-Benz,E-Class,1984,true,1G6AA5RA8D0574767
55,Chevrolet,Sportvan G20,1995,true,JN1AZ4EH4EM696445
56,Saturn,S-Series,1993,false,2T1BPRHE5EC756297
57,Ford,Econoline E350,1994,false,3MZBM1K77FM584171
58,Oldsmobile,Bravada,1996,true,1G4HG5EM2AU463352
59,GMC,Vandura 3500,1992,false,WAUHF98P98A759286
60,Kia,Amanti,2004,true,WAUWFAFH1CN655039
61,GMC,2500 Club Coupe,1993,false,SCFAD01EX9G107646
62,Mercury,Marauder,2003,true,3VWML7AJ1CM723928
63,Chevrolet,Impala,1994,false,1B3CB1HA2AD669456
64,Mercedes-Benz,E-Class,1996,true,WAUAF98E97A963925
65,Lamborghini,Gallardo,2006,false,3FADP0L32BR873552
66,Geo,Prizm,1995,false,5UXKU2C50F0054387
67,Dodge,Ram 3500,2010,false,WAUUL98E67A898067
68,Chevrolet,1500,1998,false,JTHBK1GG0D2118229
69,Acura,NSX,2003,true,WAUDK78T88A598103
70,Mitsubishi,Montero,2002,true,WAUFGAFBXAN681273
71,Nissan,300ZX,1995,true,WAUGFAFC6DN721983
72,Studebaker,Avanti,1961,true,JM1NC2EF3A0095239
73,Suzuki,SJ,1986,true,WDDHF5KB7FB532295
74,Lexus,GX,2009,true,1G6DC1E30D0624018
75,Lincoln,Town Car,2000,true,3C3CFFFH3DT041019
76,Volkswagen,Phaeton,2006,false,3N1CN7AP4DL380314
77,Chevrolet,Express,2010,true,WDDHF5KB3EA594653
78,Pontiac,Sunfire,2000,true,WAUJFAFH7DN628200
79,Volkswagen,Passat,1999,false,JN1AZ4EH4FM970504
80,Pontiac,Firebird,1986,true,1G6AS5S31E0203346
81,Ford,Mustang,2004,false,JN1BY1AR1FM592372
82,Mitsubishi,Montero,2006,true,1B3CB7HB9AD891522
83,Mercury,Mountaineer,1997,true,3D73M4HL3BG930518
84,Chevrolet,Cavalier,1998,false,SALVN2BG0FH860061
85,Nissan,Murano,2010,false,YV1672MS0B2665737
86,Cadillac,DeVille,1993,false,2HNYD2H44DH148884
87,Nissan,Altima,2008,true,3D7JB1EP6BG526941
88,Hummer,H1,2002,true,WBAKG1C58DJ389095
89,Ford,F-350 Super Duty,2006,false,5UXFA93545L127499
90,Audi,TT,2009,false,3VWKX8AJ4BM878473
91,Mercedes-Benz,CL-Class,2011,true,WBAYE0C53ED631365
92,Dodge,Dakota Club,1995,true,SCBLE37G05C785776
93,Mazda,Navajo,1992,true,1G6DP1E33C0749212
94,Ford,Fiesta,2001,true,WBAFU9C52DD364555
95,Mercedes-Benz,S-Class,2001,true,1FTEW1CW2AK353529
96,Subaru,Alcyone SVX,1995,false,WAUVC68E84A127818
97,Ford,Thunderbird,1980,true,JA4AP3AU1CZ105837
98,BMW,M5,1993,false,5N1AT2MK1FC569011
99,Lamborghini,Countach,1990,true,5GAKRCKDXDJ273822
100,Lexus,LS,1993,false,1N4AA5AP3BC775796
101,GMC,Savana 1500,1999,false,SCFEDCAD9BG979459
102,Mercury,Villager,1995,false,WA1EY94L89D469036
103,Chevrolet,Express 2500,1997,false,1FTSW3B58AE604768
104,Mercedes-Benz,E-Class,2005,true,5FRYD3H2XFB670369
105,Chevrolet,Cruze,2011,true,JTDJTUD38DD431238
106,Ford,Fairlane,1967,true,WP0AA2A94AS908998
107,Buick,Century,2000,false,WA1CFBFP3DA745086
108,Honda,Accord,1997,true,SCBCP73W98C506473
109,Hyundai,Elantra,2003,true,1D4SD6GT1BC097097
110,Toyota,MR2,1995,false,2V4RW3D13AR429768
111,GMC,Sierra 3500,2001,false,WAUYGBFCXCN160709
112,Dodge,Viper,2000,false,5YMKW8C58F0370979
113,Kia,Sorento,2005,true,JM1DE1HY2B0952147
114,Volkswagen,Scirocco,1987,true,WBAEW53435P081376
115,Mazda,RX-7,1984,true,1GKS2GEJ2BR909485
116,Acura,SLX,1996,false,1J4PR4GK3AC810283
117,Buick,Riviera,1985,true,2T2BK1BA2EC043360
118,Ford,F250,1998,false,1G6KA5EYXAU673103
119,Ford,F250,2000,false,5TDBKRFH3FS612087
120,Dodge,Intrepid,1997,false,WBABS53401J017372
121,Audi,A6,1999,true,2B3CA3CV0AH351086
122,Mercedes-Benz,E-Class,2004,false,4T1BB3EK9AU409361
123,Plymouth,Laser,1993,true,3D7TT2CT3AG063988
124,Audi,S6,2008,true,WDDHF5KB1FB055573
125,GMC,Yukon XL 2500,2005,false,JTEBU5JR1F5009840
126,Dodge,Ramcharger,1993,false,1GYS3GKJ3FR105838
127,Hyundai,Sonata,1995,true,JM1GJ1T69F1833963
128,Pontiac,Grand Prix,1964,false,3D73Y4CL2AG463859
129,Nissan,Quest,1996,true,JN1CV6FE5DM007354
130,Lincoln,Continental,1992,false,WP0AA2A94CS909779
131,Rolls-Royce,Phantom,2008,false,WAUDG78E35A973796
132,Lamborghini,Diablo,1999,true,WBA5M4C52ED218950
133,Volvo,S40,2004,false,1GKUCGEJ5AR683964
134,Cadillac,STS,2009,true,3GYT4LEF2DG496138
135,Audi,4000s,1986,false,WVWAP7AN1EE795153
136,Acura,TL,2012,false,WAUCFAFH3EN729602
137,Lexus,SC,1996,true,WBA3B5G50EN894014
138,Nissan,Maxima,1998,true,2C4RDGAG7CR733348
139,Lexus,GX,2003,false,WBAFA53511L247410
140,Ferrari,430 Scuderia,2008,false,WAUAC68D71A215440
141,Chevrolet,Tracker,2000,false,4T1BK3DB0BU216373
142,Honda,Element,2008,false,WBAKB8C57AC777071
143,Pontiac,Trans Sport,1996,false,1G6KD54Y15U604864
144,Mazda,Navajo,1994,false,SALFR2BN8CH282701
145,Chrysler,Imperial,1993,true,2C3CDYCJ8CH084044
146,Ford,Thunderbird,1996,true,3C63D2CL7CG148852
147,Audi,S8,2002,true,3VW1K7AJ7BM459635
148,Chevrolet,Express 3500,2003,false,WBA3A5C53EP556958
149,Lincoln,MKX,2011,false,WA1DGAFP4EA249307
150,Volvo,C30,2009,false,JA4AP3AU8CZ502459
151,Mitsubishi,Expo,1993,false,1N6AA0EJ2FN148176
152,Honda,Pilot,2012,true,KM8JT3ABXBU347887
153,BMW,M3,2012,true,WBA3V7C52F5562084
154,Mercury,Villager,2000,false,1GYS3KEF0DR957331
155,Suzuki,SJ 410,1984,false,5TDBK3EH6DS962664
156,Hummer,H2,2008,true,SCFFDCBD0AG598049
157,Hyundai,Veracruz,2011,true,1GTPCTEX7AZ069245
158,Porsche,968,1992,false,3D7LP2ET2BG276613
159,Land Rover,Discovery Series II,2002,true,WAULF98K49N226271
160,Volvo,XC90,2005,true,5XYKT3A14CG439807
161,Kia,Spectra,2002,false,1FTEX1C87AF993517
162,Dodge,Neon,2005,true,WBADT43491G758133
163,Hyundai,Tucson,2010,true,1N6AA0EC9EN788630
164,Mazda,MX-6,1995,true,WA1EFCFS0FR023615
165,Chevrolet,Suburban 1500,2002,false,3D7TT2CT3AG652720
166,Hyundai,Veracruz,2009,false,1GYEC63848R909264
167,Pontiac,GTO,1964,true,5NPDH4AE8EH586999
168,Isuzu,Oasis,1998,false,1C6RD6GP6CS046966
169,GMC,Yukon,2003,false,1GYS3CEF6ER681647
170,Ferrari,F430,2008,false,WBA3V7C53F5656233
171,Saab,9-2X,2005,false,19UUA56723A977656
172,Pontiac,GTO,1973,false,3D7LP2ET9AG467170
173,Maserati,GranTurismo,2009,false,2LMHJ5AR1BB565966
174,Dodge,Caravan,2002,true,WBA3T1C58EP690402
175,Suzuki,SJ,1993,false,1FTEW1C88AF792759
176,BMW,Alpina B7,2008,false,5UXZV4C52D0051088
177,Chevrolet,Monte Carlo,2005,false,WA1CV94L37D079717
178,Infiniti,QX,1999,true,SCBBR9ZA6DC167081
179,Lexus,LS,2012,true,1C3CCBCB8CN536137
180,Plymouth,Prowler,1997,true,5N1AR2MM4FC309492
181,Chevrolet,Silverado 1500,2006,true,3GYFNHE30DS977533
182,Dodge,Ram,2010,true,JTHBL1EF7E5269155
183,Land Rover,Defender,1997,true,JN1AZ4EH1CM415117
184,BMW,X5,2001,false,JN8AZ2ND2F9439940
185,Chrysler,Voyager,2001,false,1C6RD7PT1CS644319
186,Pontiac,Tempest,1965,false,WAUDG68E95A273713
187,Chevrolet,Impala SS,1995,false,WDDEJ9EB6DA682390
188,Aston Martin,V8 Vantage,2012,true,1C3BC2EB8BN904887
189,Ford,Freestar,2004,true,WBAYE0C52DD077914
190,Acura,RDX,2009,true,WBAFR1C53BC984773
191,Audi,A8,2011,false,1C3CDFDH8FD449288
192,BMW,745,2005,true,1C3CDZBG1DN865847
193,Kia,Sportage,1995,false,1G6AL5S39D0053658
194,Pontiac,Parisienne,1984,true,WVWED7AJ1BW243990
195,Audi,A3,2009,true,WAUHF98P27A663577
196,Lincoln,Navigator,2012,true,JH4DC53895S205821
197,Mercedes-Benz,SLS AMG,2012,false,WBAEA53589C189898
198,Chevrolet,Cobalt SS,2007,true,WAULFAFR4EA820815
199,Dodge,Ram Van 3500,1997,false,5N1AR2MM0EC734898
200,Honda,Accord,1984,false,NM0KS7DN7AT927298
201,Chevrolet,SSR,2004,true,WAUBFAFL7BA429970
202,Mazda,B-Series Plus,2000,true,3VW4A7AT6DM479749
203,Nissan,Altima,1996,true,WAUDH78E28A770254
204,Suzuki,Grand Vitara,2012,false,SCFEBBAC5AG111576
205,Ford,Excursion,2002,false,1N6AA0EC2DN278912
206,Mazda,RX-7,1983,false,SCFFBCCD6BG651522
207,Nissan,Pathfinder,1998,true,1J4PR4GK5AC192108
208,Ford,Ranger,2007,true,137ZA90391E439725
209,Hyundai,Veracruz,2007,true,1G6DK8EDXB0655522
210,GMC,Savana 1500,2008,false,2T2BK1BA0EC199719
211,Ford,LTD Crown Victoria,1989,true,JM1NC2NF4E0633761
212,Land Rover,Discovery,1998,false,TRUTC28N111368785
213,Jeep,Compass,2012,true,WBAYP9C55ED720434
214,Volvo,960,1993,true,1LNHL9EKXFG414908
215,Volvo,C70,2002,true,WAUHMBFC6EN084756
216,Chevrolet,Silverado 3500HD,2006,true,WAUVT58E52A383129
217,Mercury,Sable,1996,true,WAUWGBFC0EN284188
218,Pontiac,Sunfire,2005,false,WUAPV64B93N094632
219,Dodge,Intrepid,1995,false,1G6AH5S37D0987299
220,GMC,Acadia,2007,false,WAUHF78P98A882087
221,Subaru,Forester,2003,true,JM1NC2SF6F0895867
222,Ford,F250,1992,false,3GYFK66NX4G504867
223,Lotus,Elan,1993,false,3N1CE2CP7EL680253
224,Nissan,Frontier,2006,true,WUAW2BFC8FN717200
225,Pontiac,Grand Prix,1967,true,WBAPK7C51BF441898
226,Toyota,Tacoma Xtra,1997,true,2G4WE537051068579
227,Audi,Q5,2011,true,WVWED7AJ9BW737966
228,Subaru,Alcyone SVX,1997,false,3GYFNGEY8AS304121
229,Chevrolet,Corvette,1989,false,KMHEC4A45EA784050
230,Honda,CR-V,2007,true,5TDBY5G12BS048208
231,Volkswagen,Jetta III,1995,true,1G6DJ577780907003
232,Lincoln,Continental,1997,true,1G6DS57V690274104
233,Pontiac,Grand Prix,2008,true,3C3CFFFH5CT778950
234,Land Rover,LR2,2008,true,JN1CV6EK3FM549997
235,Acura,RDX,2011,false,WUARU98EX7N736542
236,Austin,Mini Cooper S,1963,false,YV1612FH6E1985335
237,Toyota,Ipsum,2000,true,2T2BK1BA9DC199216
238,Audi,90,1993,true,5NPDH4AE3FH182039
239,Infiniti,M,2010,false,JH4KC1F79EC131345
240,Lexus,SC,2003,true,3D7TT2CT0AG785208
241,Ford,E-Series,2003,false,SCFFDAAMXDG959961
242,Dodge,Ram Van 3500,1995,true,2C3CCAKT4CH008477
243,Mazda,Mazda5,2008,false,1G4HR54KX2U714906
244,Kia,Forte,2010,false,JTEBU5JR3C5688683
245,Maserati,Spyder,2003,true,1GYUCGEF9AR433256
246,Kia,Sephia,1996,true,SCBGT3ZA7EC932000
247,Mercury,Cougar,1969,true,WAUDFAFL1BA611110
248,GMC,3500,1994,true,1G6DU6EV8A0657260
249,GMC,Vandura G3500,1995,true,JTDBT4K39CL459304
250,Dodge,Dakota Club,1992,true,5N1AN0NU8EN495720
251,Ford,Escape,2012,false,WBAYA8C55DC726430
252,Mitsubishi,Montero,1999,true,WBAAZ33493P797450
253,BMW,7 Series,1994,false,SCFFDAAE0CG867765
254,Ford,Tempo,1988,true,WDDHH8HB0BA062100
255,Ferrari,F430,2007,false,WVGAV3AX2DW406024
256,Dodge,Intrepid,2004,true,WBALX5C59CC158818
257,Suzuki,Vitara,2003,false,1GYS3AEF6DR856420
258,Honda,del Sol,1997,false,WAUAC48H74K652831
259,Mercedes-Benz,C-Class,2008,true,5LMJJ3H58AE227615
260,Mercedes-Benz,SLK-Class,2004,false,2C3CDXBG7CH539403
261,BMW,8 Series,1993,false,2HNYD2H64DH804762
262,Geo,Prizm,1992,false,1N6AA0CA4CN785519
263,Audi,R8,2008,false,1GD21ZCG6CZ088650
264,Mitsubishi,Chariot,1996,false,WA1CV94L49D755806
265,Suzuki,Swift,1994,true,WAUYGAFC1DN755511
266,Ford,Taurus,1996,false,1G6DU6ED4B0467500
267,Nissan,300ZX,1991,false,WDDEJ7EB2DA895423
268,Dodge,Dakota,2003,true,2C3CCABG5DH211592
269,GMC,Vandura G3500,1995,true,KMHCM3AC4BU480949
270,Toyota,Supra,1996,false,1G6DL5EG8A0461673
271,Maserati,228,1989,false,WAU2GBFC4CN534799
272,BMW,X5,2006,false,1G6YV36A585940186
273,Porsche,Boxster,2010,true,1C4AJWAG9FL684960
274,GMC,Savana 1500,2008,true,WBS3R9C59FK182639
275,Plymouth,Grand Voyager,1994,false,WBAKF5C58DE673796
276,Lexus,IS-F,2010,true,SALAB2D45AA493377
277,Ford,Club Wagon,1995,true,4T1BD1FK8FU007139
278,Aston Martin,Vantage,2009,true,1FTWF3B52AE081619
279,Ford,Thunderbird,1988,false,WAUBC48HX5K939845
280,Buick,Century,2001,true,1GYFC26249R626434
281,Toyota,Corolla,1993,false,WAUVC58E85A741683
282,Mazda,MPV,1995,true,WAULH54B81N350671
283,Mercedes-Benz,Sprinter 3500,2012,false,WAUDG68E95A941171
284,Dodge,Dakota Club,2000,false,WBADW3C55BE936434
285,Suzuki,Grand Vitara,2003,true,2G4WC562651283941
286,Hummer,H2,2004,false,SALAG2D41DA817267
287,Ford,Fiesta,2013,true,2G4GN5EKXC9351463
288,Porsche,Boxster,2006,false,WBA3B3C56DJ956385
289,Kia,Sportage,2012,true,2FMDK4KC0AB269859
290,Kia,Rondo,2007,true,1GYUCDEF6AR364010
291,Ford,Escort,1996,true,2LMDJ6JK3BB162837
292,Suzuki,Forenza,2004,false,1GYS4UKJ4FR059335
293,Mercedes-Benz,Sprinter 2500,2012,true,1G6DK1E30D0556449
294,GMC,Sonoma Club Coupe,1995,false,WAUVC58E63A141659
295,Ford,F150,1995,false,1FTSW2A55AE073556
296,Saab,9000,1990,true,3G5DA03E14S878838
297,Jeep,Cherokee,1998,true,1FTMF1C83AK995576
298,Chevrolet,Express 2500,1999,false,1N6AA0CA2AN825979
299,Kia,Sephia,1996,true,3VWKP7AJ0DM927892
300,Chrysler,PT Cruiser,2010,false,WAUDT48H75K949595
301,Oldsmobile,88,1994,false,WAUEF98EX6A374124
302,Lincoln,Continental,1999,true,WA1VMAFP8EA705533
303,Mitsubishi,Excel,1989,true,2HNYD18263H382306
304,Ford,Expedition,2006,true,WA1VMBFE8BD468797
305,Mercedes-Benz,E-Class,1993,false,1G4GC5G30FF226303
306,Volkswagen,Jetta III,1993,false,1N6AF0KY1FN626994
307,Chrysler,Crossfire,2004,true,1FTWX3B5XAE010231
308,MINI,Clubman,2008,false,5GAKRBED4CJ698814
309,Pontiac,LeMans,1993,false,WP0AB2A99AS207693
310,Ford,E250,2010,true,1G6YV36AX95997744
311,Chevrolet,Tracker,2000,false,WBAWL13597P536197
312,Ford,Fusion,2009,true,1FTEW1CF0FK884736
313,Jaguar,S-Type,2004,true,WA1AGAFE2CD981965
314,Cadillac,Escalade,2009,false,WBA4A9C55FG163430
315,Hyundai,Genesis,2010,false,2C3CCAAG6EH134122
316,Ford,Aerostar,1986,true,YV4852CZ3A1071809
317,Mazda,929,1993,true,1GYS4CEF6DR463946
318,BMW,Z8,2003,true,WBAYF8C51DD710673
319,Chevrolet,Lumina,2001,false,WAULC58E75A648838
320,Hyundai,Elantra,2003,false,4A31K3DT9AE444581
321,Ford,Mustang,2007,false,WBALY1C55ED875414
322,Buick,Rendezvous,2004,false,KMHFH4JG8FA762951
323,Pontiac,Grand Prix,1969,false,1N6AA0CC3DN663611
324,Chevrolet,Suburban 2500,1993,false,JN8AZ2KR6CT361418
325,Dodge,Ram 3500,1994,true,WAUML54D31N083234
326,Ford,Thunderbird,1977,true,JN8AS5MT0FW121055
327,Mercedes-Benz,CL-Class,1999,true,1N4AA5AP6EC645158
328,GMC,Sierra,2012,false,1GYS3GEF4DR204236
329,Honda,Element,2011,true,WBA3C3C52FP436858
330,Bentley,Continental GTC,2011,false,WAUDFAFL0DN448851
331,Mercedes-Benz,C-Class,2005,false,1G6DP1E30C0061393
332,Buick,LeSabre,1991,true,WAUVT58E03A990508
333,Hyundai,Veracruz,2010,false,1N6AD0CU1BC375269
334,BMW,5 Series,1995,true,5J8TB3H74GL166218
335,Audi,5000CS,1987,true,WAUUL98E76A561597
336,Lincoln,MKZ,2009,true,WDDGF4HB8CA933949
337,Ford,ZX2,2002,true,2G4WE587481398657
338,Ford,Five Hundred,2006,true,WBA3V5C5XFP447323
339,Daewoo,Leganza,2002,false,JTEBU4BF6CK950342
340,Suzuki,Grand Vitara,2001,false,JA4AS2AW9DU667686
341,Mercury,Grand Marquis,1990,true,5GAKRBED4CJ531580
342,Dodge,Ram 2500 Club,1999,false,SCFFDAAE3CG249419
343,Mitsubishi,Precis,1992,true,2G4GZ5GV0B9106553
344,Jeep,Wrangler,2001,false,WBABV13495J785910
345,Honda,del Sol,1993,true,5YMGZ0C56D0756053
346,Jeep,Liberty,2007,true,JN8AZ1FYXEW894207
347,Buick,Enclave,2012,false,JTDKDTB39D1989373
348,GMC,Yukon XL 1500,2003,true,1G6DJ1ED4B0035212
349,Honda,Fit,2012,true,WBAYB6C58ED552916
350,Nissan,Altima,2006,false,WAUFEAFM4CA047541
351,Nissan,NV3500,2012,true,SCFAD02E79G929304
352,Oldsmobile,Silhouette,1999,true,19XFA1E60BE429725
353,Suzuki,Esteem,2002,true,1GYFK63808R643796
354,GMC,2500,1999,false,5TDBY5G17BS268461
355,Kia,Sportage,1997,false,WVWED7AJ8AW660750
356,Volkswagen,GTI,2012,true,1GYS3DEF3ER893749
357,Pontiac,Grand Prix,1981,true,19UYA42461A452068
358,Saab,9-3,2004,true,JN1AJ0HP4BM349583
359,Honda,Accord Crosstour,2010,true,KMHTC6AD4CU584212
360,Buick,Park Avenue,1996,false,WBAWC33598P759840
361,Saturn,L-Series,2000,false,3VW517AT3FM776694
362,Ford,Fusion,2013,false,3D7JB1ET7BG451387
363,Kia,Sephia,1998,true,1C3BCBEB6EN736316
364,Land Rover,Discovery,2002,true,1N6BF0KMXFN250264
365,Honda,Insight,2011,true,WAUAH74F26N012227
366,Mazda,Tribute,2004,true,WBAPM7G58AN575896
367,GMC,Jimmy,1999,true,WA1BY74L77D340886
368,BMW,M Roadster,2008,true,19XFB4F36EE890743
369,Hyundai,Veracruz,2012,true,1FTWX3A51AE468208
370,Maybach,57,2005,true,WAU4FBFL5BA854568
371,GMC,Sierra 2500,2001,false,SCFAB02A17G925796
372,Cadillac,Escalade,2005,true,KMHHT6KD1AU151965
373,Pontiac,LeMans,1992,true,2T1KU4EE3BC683331
374,Volvo,S60,2008,false,JH4DC53833S757473
375,Pontiac,Bonneville,1992,false,JN8AF5MR1DT627081
376,Buick,Regal,1988,true,WA1YD54B15N104355
377,Aston Martin,DB9,2008,false,JN8AS5MT1BW752083
378,Chevrolet,Camaro,1982,false,WBS3R9C52FK255558
379,Ford,Torino,1970,false,WBAKE3C56DE368370
380,Audi,A4,2002,true,3C3CFFHH7ET273461
381,Nissan,Xterra,2008,true,JN8AF5MR5ET388362
382,Isuzu,Rodeo,1995,true,WA1UFAFL3EA501113
383,Maserati,Spyder,2004,false,WBAAZ33453P049178
384,BMW,3 Series,2001,true,WAUEFAFL7DN475114
385,Nissan,Altima,1994,true,WP0AB2A95BS929065
386,Jeep,Wrangler,2009,true,1G6DV1EP8D0237665
387,Ford,F350,1992,false,JN8AS5MTXCW406454
388,Land Rover,Freelander,2005,false,4A31K3DT0AE118085
389,BMW,X6,2011,true,3C6LD4BT2CG482557
390,Mitsubishi,Galant,2003,true,JN1CV6EK3FM697597
391,Toyota,Corolla,1995,false,WAUKFAFL2DA079151
392,Mitsubishi,Expo,1994,false,WUATNAFGXEN144659
393,Hyundai,Veloster,2012,false,WAUPEAFM8CA285560
394,Saab,9000,1990,true,5N1BA0NC6FN765679
395,BMW,530,2005,true,1N6AA0CA2EN712734
396,Saab,9000,1989,true,JTDKDTB34E1273465
397,Dodge,Ram 2500,2004,false,WAUUL98E67A124689
398,Mercury,Tracer,1993,false,1G6KD57Y39U111530
399,Ford,Taurus,1986,true,2HNYD18256H375545
400,Chevrolet,Express 1500,2008,false,SCBLC37F15C422934
401,Suzuki,SJ 410,1984,true,WBA5M0C50ED687494
402,Infiniti,FX,2003,false,4A31K2DF1AE586928
403,Cadillac,XLR-V,2006,true,JN1AZ4FH7FM401600
404,BMW,330,2005,true,WBA5M2C54ED176401
405,Toyota,Sienna,2011,true,2B3CJ4DG1BH267544
406,Acura,NSX,1998,true,SCBLE37G66C607209
407,Mitsubishi,Outlander,2006,false,JA32U2FU1FU460335
408,Ford,Crown Victoria,1993,true,WAUKH78E77A504072
409,Ford,F450,2009,true,JN1AY1AR7CM769630
410,Toyota,4Runner,1997,true,5N1AR1NB0CC784723
411,Audi,4000s,1985,true,5BZAF0AA2EN187729
412,Chevrolet,Lumina,1993,true,1G4GA5GR8CF405078
413,Cadillac,CTS,2011,false,TRUUT28N621730048
414,Jaguar,X-Type,2008,true,1GYS3HEF5DR191177
415,Ford,Laser,1985,false,JHMZE2H37BS167206
416,Toyota,Celica,1997,true,1G6AZ5S36E0172896
417,Plymouth,Voyager,1994,false,1FAHP3EN0BW288404
418,BMW,5 Series,2003,true,SCFAB02E29G109170
419,Chevrolet,Avalanche 2500,2002,false,JM1GJ1U57F1465546
420,GMC,Savana,2012,false,SCBDC47L68C974272
421,Chevrolet,Blazer,1993,true,JM1DE1KY9D0361891
422,Audi,Allroad,2001,true,JN8AE2KP3D9131585
423,Mercedes-Benz,SLK-Class,2002,false,4A31K5DFXBE026828
424,Ford,E250,1984,false,2G4GT5GR3D9994299
425,Nissan,Cube,2011,true,WAUKG74F16N784936
426,Ford,Escort,2000,true,3C63DRLL0CG610872
427,Ford,ZX2,2001,false,1N4CL2AP0BC098529
428,Mercury,Cougar,1970,true,1GTN1UEHXEZ079687
429,Honda,Civic Si,2003,false,JM1NC2MF7E0136012
430,Cadillac,Seville,1998,true,WAUKD98P69A209203
431,BMW,Z8,2001,false,19UUA65505A469310
432,Audi,riolet,1995,true,19XFB4F38EE113867
433,Chevrolet,Corvette,1955,false,1N6AF0LX5EN155274
434,Volkswagen,Jetta III,1993,false,SCBLC37F85C855036
435,Porsche,Boxster,2011,false,1D7RB1CT7AS520771
436,Mitsubishi,Galant,1985,true,WBAWB7C58AP891357
437,Dodge,Stratus,2006,true,WBAUP9C52DV756640
438,Lexus,LS,1997,false,JA32U1FU1CU363772
439,BMW,7 Series,2003,false,5FRYD4H84FB036078
440,Ford,F-Series Super Duty,2012,false,1G6D05EG4A0043507
441,Land Rover,Defender,1992,true,1G6AB5S35D0146499
442,Lexus,IS-F,2008,false,3N1AB6AP2AL392290
443,Audi,TT,2008,true,1G6AB5SX2D0092677
444,Honda,Accord,2001,true,5N1AN0NUXFN398665
445,Pontiac,Firebird,1990,true,JH4DB75521S647254
446,Ford,Ranger,2002,false,WAUCVAFR4BA372512
447,MINI,Countryman,2012,false,3VW1K7AJ9CM219617
448,GMC,Savana 2500,2010,false,1GKS1KE0XER123936
449,Volkswagen,GTI,2009,true,5XYZG3AB2BG451450
450,Ferrari,458 Italia,2012,true,2G4GR5EC8B9601973
451,Porsche,911,1991,false,1G6AA5RA9F0129392
452,Chevrolet,Suburban 2500,2007,true,WAUGL98E26A415587
